Title,DOI,Publication_type,Publication_year,Taxa,Number_species,Single-Multi-species,Number_states,FIA_region_list,FIA_region_grouped,Topic,Data_source,Summary_level,Theme
Ineffectiveness of local zoning to reduce regional loss and fragmentation of wintering habitat for white-tailed deer,10.1016/j.foreco.2018.05.027,Journal Article,2018,Mammals,1,Single,1,Northern,Northern,Methods,FIADB,Validation,habitat suitability and quality
Change in avian abundance predicted from regional forest inventory data,10.1016/j.foreco.2010.07.027,Journal Article,2010,Birds,24,Multi,2,Southern,Southern,Conservation,FIADB,County,species abundance and density
Estimating Cavity Tree Abundance Using Nearest Neighbor Imputation Methods for Western Oregon and Washington Forests,,Journal Article,2008,Wildlife,,Multi,2,Pacific Northwest,Pacific Northwest,Methods,FIADB,Stand,habitat suitability and quality
Evaluating pathways to social and ecological landscape resilience,10.5751/ES-13243-270408,Journal Article,2022,Wildlife,3,Multi,1,Pacific Northwest,Pacific Northwest,Management,FIADB,Validation,habitat suitability and quality
"Changes in Snag Populations on National Forest System Lands in Arizona, 1990s to 2000s",10.5849/jof.2016-062,Journal Article,2017,Wildlife,,Multi,1,Rocky Mountain,Rocky Mountain,Management,FIADB,Plot,habitat suitability and quality
Hierarchical Bayesian Spatial Models for Multispecies Conservation Planning and Monitoring,10.1111/j.1523-1739.2010.01528.x,Journal Article,2010,Wildlife,3,Multi,2,Pacific Northwest,Pacific Northwest,Methods,FIADB,Plot,habitat suitability and quality
Linking robust spatiotemporal datasets to assess and monitor habitat attributes of a threatened species,10.1371/journal.pone.0265175,Journal Article,2022,Birds,1,Single,2,Rocky Mountain,Rocky Mountain,Methods,FIADB,Study area,habitat suitability and quality
"Utah's forest resources, 2003-2012",,Report,2016,Birds,4,Multi,1,Rocky Mountain,Rocky Mountain,Management,FIADB,Plot,habitat suitability and quality
Projected gains and losses of wildlife habitat from bioenergy-induced landscape change,10.1111/gcbb.12383,Journal Article,2016,Wildlife,16,Multi,1,Southern,Southern,Management,FIADB,Plot,habitat suitability and quality
Summer Bat Habitat Use and Forest Characteristics in Managed Northeastern Forests,10.1093/jofore/fvaa059,Journal Article,2021,Mammals,9,Multi,1,Northern,Northern,Ecology,Raster,NED3,species occurrence and distribution
"Co-occurrence of an Increase in Both the Area of Older Forest and Abundance of Potential Nesting Cavities for Wood Ducks (Aix sponsa) in Northern Minnesota, USA",10.2737/NRS-GTR-225-paper-14,Report,2022,Birds,1,Single,1,Northern,Northern,Management,FIADB,Study area,habitat suitability and quality
Building and Using Habitat Models for Assessing Temporal Changes in Forest Ecosystems,10.1007/978-0-387-45447-4_12,Book chapter,2007,Mammals,1,Single,1,Northern,Northern,Methods,Raster,KNN,habitat suitability and quality
"Temporal change in abundance of potential nesting cavities for wood ducks (Aix sponsa) in Northern Minnesota, United States",10.3389/ffgc.2022.967060,Journal Article,2022,Birds,1,Single,1,Northern,Northern,Management,FIADB,Study area,habitat suitability and quality
Canada lynx occurrence and forest management in the Acadian Forest,10.1002/jwmg.508,Journal Article,2013,Mammals,1,Single,1,Northern,Northern,Ecology,FIADB,Validation,species occurrence and distribution
Understanding and predicting habitat for wildlife conservation: the case of Canada lynx at the range periphery,10.1002/ecs2.1939,Journal Article,2017,Mammals,1,Single,1,Rocky Mountain,Rocky Mountain,Conservation,FIADB,Study area,species occurrence and distribution
Breeding Range Expansion of Sitta pusilla Latham (Brown-Headed Nuthatch) in Virginia,10.1656/058.019.0208,Journal Article,2020,Birds,1,Single,1,Southern,Southern,Management,FIADB,County,species occurrence and distribution
Managing for red-cockaded woodpeckers is more complicated under climate change,10.1002/jwmg.22309,Journal Article,2022,Birds,1,Single,1,Southern,Southern,Management,FIADB,State,habitat suitability and quality
An integration framework for linking avifauna niche and forest landscape models,10.1371/journal.pone.0217299,Journal Article,2019,Birds,2,Multi,1,Rocky Mountain,Rocky Mountain,Methods,Raster,Landscape Builder,habitat suitability and quality
"Assessing the Impact of 41 Years of Forest Management on Native Wildlife Habitat in Minnesota, USA",10.1093/jofore/fvaa050,Journal Article,2021,Wildlife,72,Multi,1,Northern,Northern,Conservation,FIADB,County,habitat suitability and quality
Assessing wildife habitat changes for the southwestern crown of the continent CFLR Project,,Report,2016,Wildlife,6,Multi,1,Northern,Northern,Methods,FIADB,Validation,habitat suitability and quality
Assessing Wildlife Habitat from a Large Scale Forest Inventory,,Report,2015,Wildlife,9,Multi,1,Northern,Northern,Methods,FIADB,Plot,habitat suitability and quality
Modeling habitat potential for Canada lynx in Michigan,10.1002/wsb.3,Journal Article,2011,Mammals,1,Single,1,Northern,Northern,Conservation,FIADB,Study area,habitat suitability and quality
Lichen cover mapping for caribou ranges in interior Alaska and Yukon,10.1088/1748-9326/ab6d38,Journal Article,2020,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Methods,FIADB,Validation,habitat suitability and quality
"Black-Backed Woodpecker Nest Density in the Sierra Nevada, California",10.3390/d12100364,Journal Article,2020,Birds,1,Single,1,Pacific Northwest,Pacific Northwest,Conservation,FIADB,Study area,species abundance and density
"Home range size, vegetation density, and season influences prey use by coyotes (Canis latrans)",10.1371/journal.pone.0203703,Journal Article,2018,Mammals,1,Single,3,Southern,Southern,Ecology,Raster,SEGAP,species abundance and density
"Managing Second-growth Forests  in Southeast Alaska for Deer Habitat, Timber, and Carbon Sequestration— Informing Multiobjective Forest Planning",10.2737/pnw-gtr-1027,Journal Article,2025,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Management,Raster,RF,habitat suitability and quality
A Nutrition-Based Approach for Elk Habitat Management on Intensively Managed Forestlands,10.5849/jof.16-032,Journal Article,2017,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Management,Raster,GNN,habitat suitability and quality
Evaluating Some Proposed Matrices for Scoring Sub-Optimal Red-Cockaded Woodpecker Foraging Habitat in Relation to the 2003 Recovery Plan,,Report,2006,Birds,1,Single,2,Southern,Southern,Management,FIADB,Plot,habitat suitability and quality
Chapter 13 Application of landscape and habitat suitability models to conservation: the Hoosier National Forest land-management plan,,Book chapter,2011,Birds,,Multi,1,Northern,Northern,Methods,FIADB,Validation,habitat suitability and quality
Managing for Multiple Objectives in Southwestern Forests: Evaluating the Trade-Offs between Enhancing Mexican Spotted Owl Nest Habitat and Mitigating Potential Crown Fire Owl Nest Habitat and Mitigating Potential Crown Fire ,,Thesis,2017,Birds,1,Single,2,Southern,Southern,Management,FIADB,Stand,habitat suitability and quality
Declining Brown-Headed Cowbird (Molothrus ater) Populations Are Associated with Landscape-Specific Reductions in Brood Parasitism and Increases in Songbird Productivity,10.1371/journal.pone.0047591,Journal Article,2012,Birds,3,Multi,1,Northern,Northern,Ecology,FIADB,County,demographic and behavioral measures
Developing and Applying Habitat Models Using Forest Inventory Data: An Example Using a Terrestrial Salamander,10.2193/0022-541X(2006)70[671:DAAHMU]2.0.CO;2,Journal Article,2004,Amphibians ,1,Single,1,Pacific Northwest,Pacific Northwest,Methods,Direct,Plot,species occurrence and distribution
"Development and Validation of Spatially Explicit Habitat Models for Cavity-nesting Birds in Fishlake National Forest, Utah",,Report,2005,Birds,12,Multi,1,Rocky Mountain,Rocky Mountain,Methods,Raster,FRAGSTATS,habitat suitability and quality
Direct and indirect effects of pine silviculture on the larval occupancy and breeding of declining amphibian species,10.1111/1365-2664.13493,Journal Article,2019,Amphibians ,10,Multi,1,Southern,Southern,Conservation,FIADB,State,species occurrence and distribution
"Effects of landscape-scale forest change on the range contraction of ruffed grouse in New York State, USA",10.1002/wsb.225,Journal Article,2012,Birds,1,Single,1,Northern,Northern,Conservation,FIADB,Plot,species occurrence and distribution
Using stochastic simulation to evaluate competing risks of wildfires and fuels management on an isolated forest carnivore,10.1007/s10980-011-9663-6#Abs1,Journal Article,2011,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Management,FIADB,Study area,species richness and community composition
Managing forest habitat for conservation-reliant species in a changing climate: The case of the endangered Kirtland’s Warbler,10.1016/j.foreco.2018.08.026,Journal Article,2018,Birds,1,Single,3,Northern,Northern,Management,FIADB,Plot,habitat suitability and quality
Estimating habitat value using forest inventory data: The fisher (Martes pennanti) in northwestern California,10.1016/j.foreco.2012.03.008,Journal Article,2012,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Methods,Direct,Plot,habitat suitability and quality
Using Forest Inventory Data To Assess Fisher Resting Habitat Suitability In California,,Journal Article,2006,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Methods,FIADB,Plot,habitat suitability and quality
"Forecasting landscape-scale, cumulative effects of forest management on vegetation and wildlife habitat: A case study of issues, limitations, and opportunities",10.1016/j.foreco.2007.08.030,Journal Article,2008,Birds,2,Multi,1,Northern,Northern,Methods,FIADB,Ownership,habitat suitability and quality
Forest forecasts: does individual heterogeneity matter for market and landscape outcomes?,10.1016/j.forpol.2004.03.017,Journal Article,2004,Wildlife,61,Multi,1,Southern,Southern,Methods,FIADB,Study area,habitat suitability and quality
Forest inventory attributes predict the occurrence of cavities suitable for nesting by Wood Ducks (Aix sponsa),10.1016/j.foreco.2020.117951,Journal Article,2020,Birds,1,Single,1,Northern,Northern,Conservation,Direct,Plot,habitat suitability and quality
Habitat and climatic associations of climate-sensitive species along a southern range boundary,10.1002/ece3.10083,Journal Article,2023,Wildlife,4,Multi,1,Northern,Northern,Conservation,Raster,Regression,species occurrence and distribution
Using occupancy and population models to assess habitat conservation opportunities for an isolated carnivore population,10.1016/j.biocon.2010.10.027,Journal Article,2011,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Methods,FIADB,Study area,species occurrence and distribution
Habitat Classification Modeling with Incomplete Data: Pushing the Habitat Envelope,10.1890/06-1312.1,Journal Article,2007,Birds,1,Single,1,Rocky Mountain,Rocky Mountain,Methods,Raster,Regression,habitat suitability and quality
Using Forest Inventory and Analysis Data and the Forest Vegetation Simulator to Predict and Monitor Fisher (Martes pennanti) Resting Habitat Suitability,,Report,2010,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Methods,Direct,Plot,habitat suitability and quality
"Integrating single-species management and landscape conservation using regional habitat occurrence models: the northern goshawk in the Southwest, USA",10.1007/s10980-014-0013-3,Journal Article,2014,Birds,1,Single,1,Rocky Mountain,Rocky Mountain,Methods,Raster,RF,habitat suitability and quality
"Interconnected Biodiversity: Mapping the Relationship Between Tree and Breeding Bird Species Diversity in Georgia’s Forests, USA",,Report,2024,Birds,,Multi,1,Southern,Southern,Ecology,FIADB,Plot,species richness and community composition
"The importance of data quality for generating reliable distribution models for rare, elusive, and cryptic species",10.1371/journal.pone.0179152,Journal Article,2017,Mammals,1,Single,3,Pacific Northwest,Pacific Northwest,Methods,Raster,GNN,species occurrence and distribution
LiDAR and multispectral imagery predict the occurrence of tree cavities suitable for a cavity-nesting duck,10.1002/rse2.236,Journal Article,2021,Birds,1,Single,1,Northern,Northern,Methods,Raster,RF,habitat suitability and quality
Structure of Fisher (Pekania pennanti) Habitat in a Managed Forest in an Interior Northern California Coast Range,10.5849/forsci.13-086,Journal Article,2015,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Methods,FIADB,Plot,habitat suitability and quality
"Managing for biodiversity: The effects of climate, management and natural disturbance on wildlife species richness",10.1111/ddi.13782,Journal Article,2023,Wildlife,202,Multi,1,Pacific Northwest,Pacific Northwest,Methods,FIADB,Plot,species richness and community composition
Anticoagulant rodenticides may affect  fisher population trends in the northeastern  United States,10.1002/jwmg.22727,Journal Article,2025,Mammals,1,Single,3,Northern,Northern,Management,FIADB,Study area,species richness and community composition
Effects of Fire and Commercial Thinning on Future Habitat of the Northern Spotted Owl ,,Journal Article,2014,Birds,1,Single,3,Pacific Northwest,Pacific Northwest,Management,FIADB,Plot,habitat suitability and quality
"Modeling Forest Growth, Yield, and Wildlife Habitat in the Lake States ",,Thesis,2013,Wildlife,,Multi,1,Northern,Northern,Methods,FIADB,Study area,habitat suitability and quality
Predicted distribution of a rare and understudied forest carnivore: Humboldt marten (Martes caurina humboldtensis),10.7717/peerj.11670,Journal Article,2023,Mammals,1,Single,2,Pacific Northwest,Pacific Northwest,Ecology,Raster,GNN,species occurrence and distribution
Modeling joint production of wildlife and timber,10.1016/j.jeem.2004.01.001,Journal Article,2004,Wildlife,2,Multi,1,Pacific Northwest,Pacific Northwest,Methods,FIADB,Study area,habitat suitability and quality
Modeling Nesting Habitat Selection of California Spotted Owls (Strix occidentalis occidentalis) in the Central Sierra Nevada Using Standard Forest Inventory Metrics,,Journal Article,2004,Birds,1,Single,1,Pacific Northwest,Pacific Northwest,Methods,Direct,Plot,habitat suitability and quality
Perverse Incentives and Safe Harbors in the Endangered Species Act: Evidence From Timber Harvests Near Woodpeckers,10.1016/j.ecolecon.2018.11.008,Journal Article,2019,Birds,1,Single,1,Southern,Southern,Conservation,FIADB,Plot,habitat suitability and quality
Pre-Euroamerican Distribution of Pine Warblers (Dendroica pinus) in Wisconsin: A Tool for Setting Regional Conservation Priorities1,,Report,2005,Birds,1,Single,1,Northern,Northern,Ecology,FIADB,Study area,habitat suitability and quality
"Projecting Impacts of Fire Management on a Biodiversity Indicator in the Sierra Nevada and Cascades, USA: The Black-Backed Woodpecker",10.2174/1874398620130508001,Journal Article,2013,Birds,1,Single,3,Pacific Northwest,Pacific Northwest,Management,FIADB,Plot,habitat suitability and quality
Predicting the Effect of Land-Use Policies on Wildlife Habitat Abundance,10.1111/j.1744-7976.2008.00125.x,Journal Article,2008,Wildlife,763,Multi,4,"Pacific Northwest, Rocky Mountain",Multiple,Management,FIADB,County,habitat suitability and quality
Quantification of Lewis’s Woodpecker habitat using Forest Inventory and Analysis data ,,Report,2009,Birds,1,Single,1,Rocky Mountain,Rocky Mountain,Conservation,FIADB,Plot,habitat suitability and quality
Quantifying Biodiversity Values across Managed Landscapes In Northern And Western Maine.,10.13140/RG.2.1.4123.2807,Report,2010,Wildlife,4,Multi,1,Northern,Northern,Conservation,FIADB,Study area,habitat suitability and quality
"Relative abundance, habitat use, and long-term population changes of wintering and resident landbirds on St. John, U.S. Virgin Islands",10.1676/07-178.1,Journal Article,2009,Birds,35,Multi,1,Southern,Southern,Conservation,FIADB,Plot,species abundance and density
Remotely sensed habitat quality index reliably predicts an umbrella species presence but not demographic performance: A case study with open pine forests and red-cockaded woodpeckers,10.1016/j.ecolind.2023.110480,Journal Article,2023,Birds,1,Single,1,Southern,Southern,Methods,Raster,NAIP,demographic and behavioral measures
Response of avian cavity nesters and carbon dynamics to forest management and climate change in the Northern Rockies,10.1002/ecs2.3636,Journal Article,2021,Birds,2,Multi,1,Rocky Mountain,Rocky Mountain,Methods,Raster,Landscape Builder,habitat suitability and quality
Ruffed grouse population declines after introduction of West Nile virus,10.1002/jwmg.21347,Journal Article,2017,Birds,1,Single,1,Northern,Northern,Ecology,FIADB,County,species abundance and density
Second Assessment OF Wildife Habitat for the Southwestern Crown of the Continent CFLR Project,,Report,2020,Wildlife,6,Multi,1,Northern,Northern,Conservation,FIADB,Study area,habitat suitability and quality
Simulating the cumulative effects of multiple forest management strategies on landscape measures of forest sustainability,10.1007/s10980-006-9017-y,Journal Article,2007,Wildlife,153,Multi,1,Northern,Northern,Methods,FIADB,Stand,habitat suitability and quality
"Forest Management Tradeoffs: Examining Relationships Between Timber Harvest, Carbon Sequestration and Storage, Bioenergy, and Wildlife",,Thesis,2023,Birds,12,Multi,4,Northern,Northern,Management,FIADB,Study area,species occurrence and distribution
Open forest management for early successional birds,10.1002/wsb.957,Journal Article,2019,Birds,38,Multi,26,"Northern, Southern",Multiple,Management,FIADB,Study area,species abundance and density
Spatial application of a predictive wildlife occurrence model to assess alternative forest management scenarios in northern Arizona,10.1016/j.foreco.2014.03.001,Journal Article,2014,Birds,1,Single,1,Rocky Mountain,Rocky Mountain,Methods,FIADB,Stand,species occurrence and distribution
Squeezed by a habitat split: Warm ocean conditions and old-forest loss interact to reduce long-term occupancy of a threatened seabird,10.1111/conl.12745,Journal Article,2020,Birds,1,Single,1,Pacific Northwest,Pacific Northwest,Conservation,Raster,GNN,species occurrence and distribution
Biotic factors influencing the unexpected distribution of a Humboldt marten (Martes caurina humboldtensis) population in a young coastal forest,10.1371/journal.pone.0214653,Journal Article,2019,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Ecology,Raster,GNN,species occurrence and distribution
Evidence for Range Contraction of Snowshoe Hare in Pennsylvania,10.1656/045.023.0205,Journal Article,2016,Mammals,1,Single,1,Northern,Northern,Ecology,FIADB,County,species occurrence and distribution
Atlases of Tree and Bird Species Habitats for Current and Future Climates,10.3368/er.27.3.260,Journal Article,2009,Birds,147,Multi,32,"Northern, Southern",Multiple,Management,FIADB,Plot,species abundance and density
The Application of FIA-based Data to Wildlife Habitat Modeling: A Comparative Study,,Report,2002,Birds,12,Multi,1,Rocky Mountain,Rocky Mountain,Methods,Raster,GAM,habitat suitability and quality
Thresholds in forest bird occurrence as a function of the amount of early-seral broadleaf forest at landscape scales,10.1890/09-1305.1,Journal Article,2010,Birds,12,Multi,1,Pacific Northwest,Pacific Northwest,Ecology,Raster,GNN,species occurrence and distribution
Habitat Characteristics and Occupancy Rates of Lewis's Woodpecker in Aspen,,Thesis,2011,Birds,1,Single,1,Rocky Mountain,Rocky Mountain,Ecology,FIADB,Plot,species occurrence and distribution
Big sagebrush in pinyon-juniper woodlands: Using forest inventory and analysis data as a management tool for quantifying and monitoring mule deer habitat,,Report,2011,Mammals,1,Single,1,Rocky Mountain,Rocky Mountain,Methods,FIADB,Plot,habitat suitability and quality
Use of Forest Inventory and Analysis information in wildlife habitat modeling: a process for linking multiple scales,,Report,2002,Birds,4,Multi,1,Rocky Mountain,Rocky Mountain,Methods,FIADB,Plot,habitat suitability and quality
Forest inventory and analysis data in action: Examples from eastern national forests,10.1016/j.tfp.2021.100178,Journal Article,2022,Mammals,1,Single,2,Northern,Northern,Management,FIADB,Study area,habitat suitability and quality
Long-term data reveal equivocal evidence for intraguild suppression among sympatric canids,10.1007/s10531-022-02465-y,Journal Article,2022,Mammals,2,Multi,1,Northern,Northern,Conservation,FIADB,State,species abundance and density
"Using Forest Service multiple species inventory and monitoring protocols to count birds at forest inventory and analysis plots on the Caribbean landscape: results, observations, and challenges from year 1 of a 2-year study",,Report,2009,Birds,27,Multi,1,Southern,Southern,Ecology,Direct,Plot,species abundance and density
Using landscape suitability models to reconcile conservation planning for two key forest predators,10.1016/j.biocon.2006.07.003,Journal Article,2006,Wildlife,2,Multi,1,Pacific Northwest,Pacific Northwest,Conservation,Direct,Plot,habitat suitability and quality
"Tree Voles: An Evaluation of Their Distribution and Habitat Relationships Based on Recent and Historical Studies, Habitat Models, and Vegetation Change",,Report,2016,Mammals,2,Multi,2,Pacific Northwest,Pacific Northwest,Methods,Raster,GNN,habitat suitability and quality
"Evidence of reduced abundance, density, and survival of coyotes under federal management for red wolf recovery",10.1002/ecs2.4216,Journal Article,2022,Mammals,3,Multi,1,Southern,Southern,Conservation,Raster,PCA,species abundance and density
Accelerated forest restoration may benefit spotted owls through landscape complementation,10.1111/acv.12976,Journal Article,2005,Birds,1,Single,1,Pacific Northwest,Pacific Northwest,Management,Raster,RF,habitat suitability and quality
Red-tree vole habitat suitability modeling: Implications for conservation and management,10.1016/j.foreco.2009.04.041,Journal Article,2009,Mammals,1,Single,2,Pacific Northwest,Pacific Northwest,Ecology,FIADB,Plot,habitat suitability and quality
Wildfires and mass effects of dispersal disrupt the local uniformity of type I songs of Hermit Warblers in California,10.1093/auk/ukaa031,Journal Article,2020,Birds,1,Single,1,Pacific Northwest,Pacific Northwest,Ecology,Raster,Stem-map model,species richness and community composition
Quantifying regional trends in large live tree and snag availability in support of forest management,10.1016/j.foreco.2020.118554,Journal Article,2021,Wildlife,,Multi,2,Pacific Northwest,Pacific Northwest,Management,Raster,GNN,habitat suitability and quality
A Density Management Diagram for Longleaf Pine Stands with Application to Red-Cockaded Woodpecker Habitat,,Journal Article,2007,Birds,1,Single,8,Southern,Southern,Methods,FIADB,Plot,habitat suitability and quality
A method for integrating the Breeding Bird Survey and Forest Inventory and Analysis databases to evaluate forest bird–habitat relationships at multiple spatial scales,,Journal Article,2007,Birds,26,Multi,14,"Northern, Southern",Multiple,Methods,FIADB,County,species abundance and density
American Woodcock Conservation Plan: A Summary of and Recommendations for Woodcock Conservation in North America ,,Report,2008,Birds,1,Single,13,"Northern, Southern",Multiple,Conservation,Raster,Forest inventory mapmaker web-application,habitat suitability and quality
Spatiotemporal patterns of diversity and diversity‐stability relationships as a function of compounding disturbances and forest management,10.1007/s10980-025-02075-3,Journal Article,2025,Wildlife,203,Multi,2,Pacific Northwest,Pacific Northwest,Management,Raster,Regression,species richness and community composition
Predicting wildlife distribution patterns in New England USA with expert elicitation techniques,10.1016/j.gecco.2019.e00853,Journal Article,2020,Wildlife,10,Multi,6,Northern,Northern,Management,Raster,kNN,species occurrence and distribution
Changes in potential habitat of 147 North American breeding bird species in response to redistribution of trees and climate following predicted climate change,10.1111/j.1600-0587.2011.06803.x,Journal Article,2011,Birds,147,Multi,32,"Northern, Southern",Multiple,Conservation,Raster,RF,habitat suitability and quality
Comparison of statistical and theoretical habitat models for conservation planning: the benefit of ensemble prediction,10.1890/10-1047.1,Journal Article,2011,Birds,5,Multi,9,"Northern, Southern",Multiple,Methods,Raster,Various,species abundance and density
Describing vegetation characteristics used by two rare forest-dwelling species: Will established reserves provide for coastal marten in Oregon?,10.1371/journal.pone.0210865,Journal Article,2019,Wildlife,2,Multi,3,Pacific Northwest,Pacific Northwest,Conservation,Raster,GNN,species occurrence and distribution
